Date,OpenPrice,HighPrice,LowPrice,ClosePrice,AdjClosePrice,Volume
1/3/2023,3853.290039,3878.459961,3794.330078,3824.139893,3824.139893,3959140000
1/4/2023,3840.360107,3873.159912,3815.77002,3852.969971,3852.969971,4414080000
1/5/2023,3839.73999,3839.73999,3802.419922,3808.100098,3808.100098,3893450000
1/6/2023,3823.370117,3906.189941,3809.560059,3895.080078,3895.080078,3923560000
1/9/2023,3910.820068,3950.570068,3890.419922,3892.090088,3892.090088,4311770000
1/10/2023,3888.570068,3919.830078,3877.290039,3919.25,3919.25,3851030000
1/11/2023,3932.350098,3970.070068,3928.540039,3969.610107,3969.610107,4303360000
1/12/2023,3977.570068,3997.76001,3937.560059,3983.169922,3983.169922,4440260000
1/13/2023,3960.600098,4003.949951,3947.669922,3999.090088,3999.090088,3939700000
1/17/2023,3999.280029,4015.389893,3984.570068,3990.969971,3990.969971,4235560000
1/18/2023,4002.25,4014.159912,3926.590088,3928.860107,3928.860107,4298710000
1/19/2023,3911.840088,3922.939941,3885.540039,3898.850098,3898.850098,3991500000
1/20/2023,3909.040039,3972.959961,3897.860107,3972.610107,3972.610107,4013360000
1/23/2023,3978.139893,4039.310059,3971.639893,4019.810059,4019.810059,3945210000
1/24/2023,4001.73999,4023.919922,3989.790039,4016.949951,4016.949951,3320430000
1/25/2023,3982.709961,4019.550049,3949.060059,4016.219971,4016.219971,3724020000
1/26/2023,4036.080078,4061.570068,4013.290039,4060.429932,4060.429932,3809590000
1/27/2023,4053.719971,4094.209961,4048.699951,4070.560059,4070.560059,3907760000
1/30/2023,4049.27002,4063.850098,4015.550049,4017.77002,4017.77002,3802000000
1/31/2023,4020.850098,4077.159912,4020.439941,4076.600098,4076.600098,4679320000
2/1/2023,4070.070068,4148.950195,4037.199951,4119.209961,4119.209961,4856930000
2/2/2023,4158.680176,4195.439941,4141.879883,4179.759766,4179.759766,5624360000
2/3/2023,4136.689941,4182.359863,4123.359863,4136.47998,4136.47998,4694510000
2/6/2023,4119.569824,4124.629883,4093.379883,4111.080078,4111.080078,4114240000
2/7/2023,4105.350098,4176.540039,4088.389893,4164,4164,4355860000
2/8/2023,4153.470215,4156.850098,4111.669922,4117.859863,4117.859863,4029820000
2/9/2023,4144.25,4156.22998,4069.669922,4081.5,4081.5,4270200000
2/10/2023,4068.919922,4094.360107,4060.790039,4090.459961,4090.459961,3891520000
2/13/2023,4096.620117,4138.899902,4092.669922,4137.290039,4137.290039,3448620000
2/14/2023,4126.700195,4159.77002,4095.01001,4136.129883,4136.129883,3929200000
2/15/2023,4119.5,4148.109863,4103.97998,4147.600098,4147.600098,4075980000
2/16/2023,4114.75,4136.540039,4089.48999,4090.409912,4090.409912,4143660000
2/17/2023,4077.389893,4081.51001,4047.949951,4079.090088,4079.090088,4045480000
2/21/2023,4052.350098,4052.350098,3995.189941,3997.340088,3997.340088,4121590000
2/22/2023,4001.830078,4017.370117,3976.899902,3991.050049,3991.050049,4079320000
2/23/2023,4018.600098,4028.300049,3969.189941,4012.320068,4012.320068,3952940000
2/24/2023,3973.23999,3978.25,3943.080078,3970.040039,3970.040039,3877700000
2/27/2023,3992.360107,4018.050049,3973.550049,3982.23999,3982.23999,3836950000
2/28/2023,3977.189941,3997.5,3968.97998,3970.149902,3970.149902,5043400000
3/1/2023,3963.340088,3971.72998,3939.050049,3951.389893,3951.389893,4249480000
3/2/2023,3938.679932,3990.840088,3928.159912,3981.350098,3981.350098,4244900000
3/3/2023,3998.02002,4048.290039,3995.169922,4045.639893,4045.639893,4084730000
3/6/2023,4055.149902,4078.48999,4044.610107,4048.419922,4048.419922,4000870000
3/7/2023,4048.26001,4050,3980.310059,3986.370117,3986.370117,3922500000
3/8/2023,3987.550049,4000.409912,3969.76001,3992.01001,3992.01001,3535570000
